Tárgy kódja;Tárgy neve;Kredit;Felvételek száma;Várólista;Kurzus kódja;Kurzus típusa;Fõ/Várólista/Limit;;;Órarend inf.;Oktatók;Nyelv;Telephely;Megj.;Leírás;;;;;;;
BMETE90AX22;Analízis 2 informatikusoknak;6;1;;B15;Gyakorlat;17/0/17;;;"P:08:15-10:00  (E402);";Sáfár Orsolya;magyar;;;;;;;;;;
BMEVISZAA01;Bevezetés a számításelméletbe 2;4;1;;N0;Elmélet;18/0/30;;;"K:12:15-14:00  (IB134);";Dr. Recski András;német;;;;;;;;;;
BMEVISZAA01;Bevezetés a számításelméletbe 2;4;1;;1;Elmélet;306/0/420;;;"H:10:15-12:00  (IB028); H:17:15-19:00  (ZH,  IB028,  QAF14,  IB027,  IE007,  Q-I,  IB026); CS:08:15-10:00  (ZH,  KF76);";Dr. Szeszlér Dávid;magyar;;;;;;;;;;
BMEVISZAA01;Bevezetés a számításelméletbe 2;4;1;;10a;Gyakorlat;18/0/18;;;"K:10:15-12:00  (IB134);";Richlik György Róbert;magyar;;;A helyszín...;;;;;;;
BMEVISZAA01;Bevezetés a számításelméletbe 2;4;1;;2;Elmélet;81/0/210;;;"H:10:15-12:00  (IB027); H:17:15-19:00  (ZH); CS:08:15-10:00  (ZH,  KF76,  IB028,  QAF14,  IB027,  Q-I,  IB026);";Dr. Wiener Gábor;magyar;;;;;;;;;;
BMEVISZAA01;Bevezetés a számításelméletbe 2;4;1;;E1;Gyakorlat;0/0/0;;;"K:08:15-10:00  (TANSZEK);";Dr. Fleiner Tamás;magyar;;;;;;;;;;
BMEVISZAA01;Bevezetés a számításelméletbe 2;4;1;;A1;Gyakorlat;8/0/10;;;"SZE:12:15-14:00  (IB144);";Dr. Csákány Rita;angol;;;;;;;;;;
BMEVISZAA01;Bevezetés a számításelméletbe 2;4;1;;E2;Gyakorlat;0/0/0;;;"K:10:15-12:00  (TANSZEK);";Dr. Fleiner Tamás;magyar;;;;;;;;;;
BMEVISZAA01;Bevezetés a számításelméletbe 2;4;1;;N1;Gyakorlat;19/0/30;;;"H:14:15-16:00  (IE219);";Gema Barnabás;német;;;;;;;;;;
BMEVISZAA01;Bevezetés a számításelméletbe 2;4;1;;11;Gyakorlat;18/0/18;;;"K:10:15-12:00  (IB140);";Titkos Tamás;magyar;;;;;;;;;;
BMEVISZAA01;Bevezetés a számításelméletbe 2;4;1;;24;Gyakorlat;17/0/17;;;"K:08:15-10:00  (QBF11);";Titkos Tamás;magyar;;;A helyszín...;;;;;;;
BMEVISZAA01;Bevezetés a számításelméletbe 2;4;1;;A0;Elmélet;8/0/10;;;"H:14:15-16:00  (IB134);";Dr. Csákány Rita;angol;;;;;;;;;;
BMEVISZAA01;Bevezetés a számításelméletbe 2;4;1;;10c;Gyakorlat;17/0/17;;;"K:10:15-12:00  (IB138);";Richlik György Róbert;magyar;;;;;;;;;;
BMEVIHIAA00;Számítógép-architektúrák;5;1;;G3;Gyakorlat;18/0/35;;;"H:12:15-14:00  (IL107);";Vitéz András, Dr. Horváth Gábor;magyar;;;;;;;;;;
BMEVIHIAA00;Számítógép-architektúrák;5;1;;G7;Gyakorlat;35/0/35;;;"H:15:15-17:00  (IL107);";Dr. Filp András, Dr. Horváth Gábor;magyar;;;;;;;;;;
BMEVIHIAA00;Számítógép-architektúrák;5;1;;EE;Elmélet;8/0/540;;;"H:08:15-10:00  (IB144); P:08:15-10:00  (IL108);";Dr. Horváth Gábor;angol;;;;;;;;;;
BMEVIHIAA00;Számítógép-architektúrák;5;1;;EG;Gyakorlat;8/0/35;;;"P:08:15-10:00  (IL108);";Dr. Horváth Gábor;angol;;;;;;;;;;
BMEVIHIAA00;Számítógép-architektúrák;5;1;;DGy;Gyakorlat;21/0/540;;;"CS:12:15-14:00  (IL108);";Dr. Srp Ágoston Mihály;német;;;;;;;;;;
BMEVIHIAA00;Számítógép-architektúrák;5;1;;G1;Gyakorlat;28/0/35;;;"H:15:15-17:00  (QBF10);";Belsõ Zoltán, Dr. Horváth Gábor;magyar;;;;;;;;;;
BMEVIHIAA00;Számítógép-architektúrák;5;1;;DE;Elmélet;21/0/540;;;"SZE:12:15-14:00  (IB147);";Dr. Srp Ágoston Mihály;német;;;;;;;;;;
BMEVIHIAA00;Számítógép-architektúrák;5;1;;E;Elmélet;364/0/540;;;"H:17:15-19:00  (ZH,  IB028,  QAF14,  IB027,  IE007,  Q-I,  IB026); H:17:15-19:00  (ZH,  IB028,  QAF14,  IB027,  IE007,  Q-I);";Dr. Horváth Gábor;magyar;;;;;;;;;;
BMEVIDHTF02;Tanköri foglalkozás 2.;0;1;;I13;Gyakorlat;20/0/35;;;"K:10:15-12:00  (E404);";Cseh Tamás, Németh Krisztián;magyar;;;;;;;;;;
